,ID,Case Number,Date,Block,Primary Type,Description,Location Description,Arrest,Domestic,District,Community Area,Year
1,12592454,JF113025,01/14/2022 03:55:00 PM,067XX S MORGAN ST,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,False,True,7,Englewood,2022
12,12667337,JF203985,04/10/2022 09:38:00 PM,011XX N CHERRY AVE,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,WAREHOUSE,True,True,18,Near North Side,2022
23,13211226,JF308371,06/07/2022 07:00:00 AM,002XX S ASHLAND AVE,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,GOVERNMENT BUILDING / PROPERTY,False,False,12,Near West Side,2022
39,13212633,JG426702,11/26/2022 12:00:00 AM,052XX S KEDZIE AVE,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,True,8,Gage Park,2022
52,12676226,JF182188,03/21/2022 12:00:00 AM,067XX S ROCKWELL ST,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,False,True,8,Chicago Lawn,2022
118,13223929,JG440216,12/16/2022 09:00:00 AM,075XX S LANGLEY AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,False,6,Greater Grand Crossing,2022
123,13224551,JG439472,06/15/2022 12:00:00 AM,100XX S VAN VLISSINGEN RD,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,False,True,4,South Deering,2022
137,13226684,JG443384,12/01/2022 12:00:00 PM,031XX W WALTON ST,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,12,Humboldt Park,2022
142,12720062,JF267847,06/04/2022 02:30:00 PM,093XX S ESCANABA AVE,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,False,True,4,Calumet Heights,2022
202,13233961,JG451900,09/15/2022 12:15:00 PM,020XX N KEDZIE AVE,OTHER OFFENSE,SEX OFFENDER - FAIL TO REGISTER,APARTMENT,False,False,14,Logan Square,2022
299,12726948,JF275722,06/10/2022 05:00:00 PM,033XX S Indiana Ave,OTHER OFFENSE,TELEPHONE THREAT,RESTAURANT,False,False,2,Douglas,2022
419,12903699,JF487221,11/25/2022 11:45:00 AM,040XX W 115TH ST,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,True,22,Mount Greenwood,2022
469,12943489,JG103269,12/31/2022 12:03:00 AM,059XX W FULLERTON AVE,OTHER OFFENSE,LICENSE VIOLATION,COMMERCIAL / BUSINESS OFFICE,False,False,25,Belmont Cragin,2022
480,12945476,JG108105,07/01/2022 09:00:00 AM,016XX N KEYSTONE AVE,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,False,False,25,Humboldt Park,2022
485,12946506,JG109306,10/10/2022 12:03:00 PM,043XX N BROADWAY,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,False,19,Uptown,2022
507,12951714,JG115486,12/01/2022 12:01:00 AM,044XX W DIVERSEY AVE,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,STREET,False,True,25,Hermosa,2022
510,12953432,JG117411,05/01/2022 12:00:00 AM,013XX N BURLING ST,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,False,False,18,Near North Side,2022
525,12956390,JG120935,12/08/2022 09:00:00 AM,035XX S RHODES AVE,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,False,2,Douglas,2022
527,12957442,JG122063,09/03/2022 08:00:00 AM,062XX N LA CROSSE AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,16,Forest Glen,2022
529,12958136,JG122857,09/04/2022 10:20:00 AM,035XX S LAKE PARK AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,True,2,Oakland,2022
534,12960359,JG125567,12/31/2022 12:00:00 AM,064XX S KILPATRICK AVE,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,True,8,Clearing,2022
541,12962134,JG127527,10/03/2022 12:01:00 AM,063XX S ELLIS AVE,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,False,True,3,Woodlawn,2022
546,12962633,JG128314,12/08/2022 12:00:00 PM,054XX W WINDSOR AVE,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,False,True,16,Portage Park,2022
553,12964643,JG130767,12/10/2022 11:32:00 AM,047XX N PULASKI RD,OTHER OFFENSE,HARASSMENT BY TELEPHONE,DEPARTMENT STORE,False,False,17,Albany Park,2022
575,12971247,JG138750,03/01/2022 12:00:00 AM,057XX N ASHLAND AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,20,Edgewater,2022
582,12973453,JG141306,12/31/2022 01:01:00 AM,015XX N AUSTIN BLVD,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,False,True,25,Austin,2022
584,12974319,JG142444,10/27/2022 06:00:00 PM,015XX S KEELER AVE,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,False,False,10,North Lawndale,2022
609,12981965,JG151581,11/22/2022 12:00:00 PM,030XX N CLYBOURN AVE,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,COMMERCIAL / BUSINESS OFFICE,False,False,19,North Center,2022
619,12985196,JG155434,01/01/2022 12:00:00 AM,032XX N NARRAGANSETT AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,True,16,Dunning,2022
635,12992711,JG164421,09/16/2022 09:00:00 AM,013XX N DAMEN AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,SIDEWALK,False,True,14,West Town,2022
639,12993386,JG165306,07/23/2022 09:00:00 AM,019XX E 74TH ST,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,False,False,3,South Shore,2022
640,12993492,JG165490,12/11/2022 06:40:00 PM,045XX S MARSHFIELD AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,9,New City,2022
648,12998243,JG171115,11/23/2022 03:58:00 PM,020XX S ASHLAND AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,COMMERCIAL / BUSINESS OFFICE,False,True,12,Lower West Side,2022
658,13002625,JG176396,11/26/2022 11:07:00 PM,032XX N Sheffield Ave,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,OTHER (SPECIFY),False,False,19,Lake View,2022
668,13007317,JG182038,12/24/2022 10:00:00 PM,017XX W THORNDALE AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,True,20,Edgewater,2022
681,13017812,JG194712,10/23/2022 03:00:00 PM,022XX W MADISON ST,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,False,12,Near West Side,2022
683,13018420,JG189199,01/01/2022 12:00:00 AM,031XX W FILLMORE ST,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,False,False,11,North Lawndale,2022
690,13021492,JG199070,12/03/2022 08:08:00 PM,054XX W IOWA ST,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,False,False,15,Austin,2022
704,13028298,JG207065,04/01/2022 12:00:00 AM,053XX W CRYSTAL ST,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,True,25,Austin,2022
709,13031707,JG211192,10/24/2022 06:00:00 PM,028XX W 25TH ST,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,False,False,10,South Lawndale,2022
712,13032798,JG212361,11/15/2022 05:00:00 PM,008XX W WRIGHTWOOD AVE,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,False,True,19,Lincoln Park,2022
728,13049924,JG232760,06/01/2022 01:00:00 AM,035XX S MICHIGAN AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,2,Douglas,2022
730,13052148,JG235401,02/01/2022 12:00:00 AM,033XX W 38TH PL,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,True,9,Brighton Park,2022
734,13053243,JG236742,05/01/2022 12:00:00 AM,052XX W MELROSE ST,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,False,16,Portage Park,2022
735,13053347,JG235887,12/01/2022 12:00:00 AM,045XX S SPAULDING AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,True,8,Brighton Park,2022
737,13055397,JG239261,12/07/2022 10:06:00 AM,079XX S DR MARTIN LUTHER KING JR DR,OTHER OFFENSE,VIOLATION OF CIVIL NO CONTACT ORDER,APARTMENT,False,False,6,Chatham,2022
738,13055547,JG239388,07/01/2022 12:01:00 AM,031XX N HAMLIN AVE,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,False,False,25,Avondale,2022
757,13084574,JG274340,12/05/2022 12:00:00 AM,019XX S DESPLAINES ST,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,True,12,Lower West Side,2022
760,13093949,JG285455,12/27/2022 11:23:00 PM,063XX S KEDZIE AVE,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,True,8,Chicago Lawn,2022
769,13104819,JG297530,12/10/2022 05:00:00 PM,025XX S CENTRAL PARK AVE,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,OTHER (SPECIFY),False,False,10,South Lawndale,2022
787,13171233,JG371758,04/10/2022 10:00:00 AM,049XX N ST LOUIS AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE - YARD (FRONT / BACK),False,True,17,Albany Park,2022
1528,12591176,JF111371,01/12/2022 10:56:00 AM,002XX S CALIFORNIA AVE,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,False,True,11,East Garfield Park,2022
1544,12605203,JF128560,01/30/2022 12:00:00 AM,041XX W 21ST PL,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,False,True,10,North Lawndale,2022
1569,12605431,JF128980,01/30/2022 05:43:00 PM,031XX E 79TH ST,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,True,4,South Chicago,2022
1578,12602545,JF125212,01/26/2022 10:27:00 PM,036XX W 26TH ST,OTHER OFFENSE,VEHICLE TITLE / REGISTRATION OFFENSE,STREET,True,False,10,South Lawndale,2022
1582,12599387,JF121288,01/14/2022 12:00:00 AM,014XX N LOREL AVE,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,False,25,Austin,2022
1589,12588245,JF107781,01/09/2022 02:45:00 PM,018XX S ASHLAND AVE,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,False,12,Lower West Side,2022
1591,12595518,JF116424,01/18/2022 08:59:00 AM,001XX N SANGAMON ST,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,FACTORY / MANUFACTURING BUILDING,False,False,12,Near West Side,2022
1602,12628556,JF157379,02/27/2022 03:04:00 AM,028XX W NORTH AVE,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,False,False,14,West Town,2022
1603,12629490,JF158320,02/27/2022 03:09:00 PM,071XX S WASHTENAW AVE,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,False,False,8,Chicago Lawn,2022
1610,12583471,JF102049,01/03/2022 11:04:00 AM,132XX S AVENUE N,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,4,Hegewisch,2022
1617,12630469,JF159823,03/01/2022 12:45:00 PM,020XX W MC LEAN AVE,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,STREET,False,False,14,Logan Square,2022
1650,12606512,JF130212,01/31/2022 08:58:00 PM,079XX S EXCHANGE AVE,OTHER OFFENSE,VIOLENT OFFENDER - ANNUAL REGISTRATION,STREET,True,False,4,South Chicago,2022
1666,12586221,JF105401,01/06/2022 07:35:00 PM,053XX S HALSTED ST,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,False,False,9,New City,2022
1698,12612490,JF137719,01/18/2022 12:00:00 AM,020XX N TRIPP AVE,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,False,25,Hermosa,2022
1699,12624613,JF152553,02/22/2022 12:18:00 PM,066XX S DAMEN AVE,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,True,7,West Englewood,2022
1702,12586790,JF106186,01/07/2022 03:30:00 PM,044XX S PULASKI RD,OTHER OFFENSE,OTHER VEHICLE OFFENSE,PARKING LOT / GARAGE (NON RESIDENTIAL),True,True,8,Archer Heights,2022
1720,12597942,JF119532,01/19/2022 09:00:00 PM,062XX S LAFLIN ST,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,False,True,7,West Englewood,2022
1721,12590802,JF110753,01/12/2022 03:09:00 PM,016XX W 81ST ST,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,False,True,6,Auburn Gresham,2022
1724,12602205,JF124929,01/26/2022 10:00:00 AM,122XX S LOWE AVE,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,True,5,West Pullman,2022
1740,12586767,JF106188,01/03/2022 12:01:00 AM,017XX W BELMONT AVE,OTHER OFFENSE,TELEPHONE THREAT,COMMERCIAL / BUSINESS OFFICE,False,False,19,Lake View,2022
1754,12603461,JF126351,01/27/2022 11:03:00 PM,018XX W IRVING PARK RD,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,STREET,True,True,19,North Center,2022
1792,12594623,JF114507,01/16/2022 08:46:00 AM,011XX N KILDARE AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,True,11,Humboldt Park,2022
1793,12625918,JF154047,02/23/2022 02:21:00 PM,121XX S INDIANA AVE,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,False,False,5,West Pullman,2022
1870,12604488,JF127679,01/29/2022 10:30:00 AM,012XX W 109TH ST,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,False,True,22,Morgan Park,2022
1874,12607478,JF131379,02/01/2022 08:12:00 PM,047XX N ELSTON AVE,OTHER OFFENSE,VEHICLE TITLE / REGISTRATION OFFENSE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,17,Irving Park,2022
1877,12616718,JF142849,02/13/2022 12:15:00 AM,049XX S FORRESTVILLE AVE,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,True,2,Grand Boulevard,2022
1882,12588789,JF108587,01/10/2022 11:00:00 AM,120XX S LAFLIN ST,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,False,5,West Pullman,2022
1903,12620436,JF147273,02/17/2022 10:00:00 AM,082XX S COMMERCIAL AVE,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,True,4,South Chicago,2022
1915,12628365,JF157124,02/26/2022 08:38:00 PM,042XX N PULASKI RD,OTHER OFFENSE,VEHICLE TITLE / REGISTRATION OFFENSE,STREET,True,False,17,Irving Park,2022
1917,12594386,JF115151,01/16/2022 11:27:00 PM,048XX N MAGNOLIA AVE,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,True,True,20,Uptown,2022
1954,12586550,JF105587,01/07/2022 07:39:00 AM,010XX W 70TH ST,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,True,7,Englewood,2022
1987,12583547,JF102128,01/03/2022 12:26:00 PM,014XX N LARAMIE AVE,OTHER OFFENSE,GUN OFFENDER - ANNUAL REGISTRATION,STREET,True,False,25,Austin,2022
1990,12624724,JF152548,02/18/2022 02:00:00 PM,056XX S KOSTNER AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,8,West Elsdon,2022
2041,12584019,JF102382,01/01/2022 02:00:00 PM,011XX W 104TH PL,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,False,True,22,Washington Heights,2022
2049,12625372,JF153548,02/23/2022 12:40:00 PM,040XX S WESTERN AVE,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,OTHER (SPECIFY),False,False,9,Brighton Park,2022
2057,12622254,JF149699,02/19/2022 03:00:00 PM,037XX S LAKE PARK AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,True,2,Oakland,2022
2061,12608568,JF132658,02/03/2022 12:23:00 PM,067XX S CHAPPEL AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,False,3,South Shore,2022
2071,12615234,JF141060,02/11/2022 12:33:00 AM,069XX N CLARK ST,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,True,True,24,Rogers Park,2022
2075,12597748,JF119306,01/14/2022 03:55:00 AM,012XX S LAKE SHORE DR E,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,True,False,1,Near South Side,2022
2101,12605877,JF129453,01/31/2022 10:15:00 AM,071XX N SHERIDAN RD,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,True,24,Rogers Park,2022
2135,12599951,JF122015,01/23/2022 12:00:00 AM,089XX S BRANDON AVE,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,True,4,South Chicago,2022
2139,12602812,JF125588,01/27/2022 10:45:00 AM,009XX W 59TH ST,OTHER OFFENSE,ANIMAL ABUSE / NEGLECT,RESIDENCE - YARD (FRONT / BACK),False,False,7,Englewood,2022
2147,12605566,JF129045,01/30/2022 08:17:00 PM,019XX W 51ST ST,OTHER OFFENSE,VIOLENT OFFENDER - ANNUAL REGISTRATION,ALLEY,True,False,9,New City,2022
2168,12627990,JF156672,02/26/2022 09:43:00 AM,001XX N LAMON AVE,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,True,15,Austin,2022
2171,12611193,JF135991,02/06/2022 07:12:00 PM,0000X N KEDZIE AVE,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,True,False,12,East Garfield Park,2022
2175,12594484,JF115373,01/16/2022 07:00:00 PM,051XX S DR MARTIN LUTHER KING JR DR,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,False,True,2,Washington Park,2022
2195,12616368,JF142454,02/11/2022 12:01:00 AM,017XX W 59TH ST,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,False,True,7,West Englewood,2022
2201,12627220,JF155737,02/25/2022 01:57:00 PM,003XX N WESTERN AVE,OTHER OFFENSE,GUN OFFENDER - ANNUAL REGISTRATION,STREET,True,False,12,West Town,2022
2207,12591058,JF111224,01/12/2022 07:50:00 PM,004XX E 42ND ST,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,True,2,Grand Boulevard,2022
2226,12622723,JF150248,02/20/2022 08:40:00 AM,024XX N NEWCASTLE AVE,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,False,25,Montclare,2022
2250,12605349,JF128781,01/30/2022 10:00:00 AM,028XX S KOLIN AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,True,10,South Lawndale,2022
2260,12611707,JF136731,02/07/2022 02:00:00 PM,0000X W TERMINAL ST,OTHER OFFENSE,TELEPHONE THREAT,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,False,False,16,O'Hare,2022
2281,12611986,JF137098,02/07/2022 03:00:00 PM,007XX W 50TH PL,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,False,9,New City,2022
2292,12618989,JF145632,02/15/2022 07:27:00 PM,121XX S INDIANA AVE,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,ALLEY,False,True,5,West Pullman,2022
2295,12620087,JF146938,02/14/2022 06:21:00 PM,078XX S EUCLID AVE,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,False,False,4,South Shore,2022
2297,12588460,JF108137,01/10/2022 01:45:00 AM,035XX S RHODES AVE,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,True,2,Douglas,2022
2311,12583453,JF101955,01/01/2022 03:00:00 AM,075XX S CHAMPLAIN AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,True,6,Greater Grand Crossing,2022
2318,12609572,JF133782,02/02/2022 11:06:00 AM,113XX S ABERDEEN ST,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,False,22,Morgan Park,2022
2330,12609071,JF133025,01/05/2022 05:10:00 PM,009XX W ADDISON ST,OTHER OFFENSE,HARASSMENT BY TELEPHONE,CTA PLATFORM,False,True,19,Lake View,2022
2335,12584312,JF103081,01/04/2022 12:15:00 PM,007XX W 54TH PL,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,False,True,9,New City,2022
2346,12621662,JF148122,02/18/2022 03:34:00 AM,083XX S COTTAGE GROVE AVE,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,False,6,Chatham,2022
2351,12585718,JF104793,01/06/2022 10:15:00 AM,047XX S LAKE PARK AVE,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,False,True,2,Kenwood,2022
2385,12620341,JF147154,02/15/2022 10:49:00 PM,061XX S KIMBARK AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,True,3,Woodlawn,2022
2408,12629838,JF158992,02/28/2022 04:30:00 PM,112XX S LAFLIN ST,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,True,22,Morgan Park,2022
2423,12601118,JF123419,01/24/2022 08:00:00 PM,087XX S KINGSTON AVE,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,False,True,4,South Chicago,2022
2429,12594047,JF114903,01/16/2022 04:39:00 PM,073XX S MAY ST,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,False,True,7,Englewood,2022
2432,12625159,JF153305,02/23/2022 09:00:00 AM,042XX W CARROLL AVE,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,False,False,11,West Garfield Park,2022
2436,12624947,JF153060,02/22/2022 11:19:00 PM,018XX W CULLERTON ST,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,False,False,12,Lower West Side,2022
2459,12620548,JF147321,02/17/2022 11:40:00 AM,057XX W DICKENS AVE,OTHER OFFENSE,OTHER VEHICLE OFFENSE,VEHICLE NON-COMMERCIAL,True,False,25,Belmont Cragin,2022
2462,12604017,JF127023,01/28/2022 03:28:00 PM,008XX E 81ST ST,OTHER OFFENSE,VIOLATION OF CIVIL NO CONTACT ORDER,APARTMENT,False,False,6,Chatham,2022
2525,12606829,JF130495,02/01/2022 08:55:00 AM,029XX N KARLOV AVE,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,False,False,25,Avondale,2022
2559,12620798,JF147547,02/17/2022 03:40:00 PM,033XX W FILLMORE ST,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,POLICE FACILITY / VEHICLE PARKING LOT,False,False,11,North Lawndale,2022
2578,12603767,JF126755,01/28/2022 11:30:00 AM,109XX S EMERALD AVE,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,True,22,Roseland,2022
2580,12604556,JF127780,01/29/2022 12:30:00 PM,118XX S STATE ST,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,True,5,West Pullman,2022
2603,12626609,JF155005,02/24/2022 05:40:00 PM,012XX S MICHIGAN AVE,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,True,1,Near South Side,2022
2610,12607106,JF131028,02/01/2022 03:50:00 PM,023XX S RIDGEWAY AVE,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,False,False,10,South Lawndale,2022
2631,12592254,JF112652,01/14/2022 01:11:00 PM,022XX E 84TH ST,OTHER OFFENSE,VIOLATION GPS MONITORING DEVICE,STREET,False,True,4,South Chicago,2022
2652,12595377,JF116505,01/17/2022 10:35:00 PM,021XX N RACINE AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,True,18,Lincoln Park,2022
2654,12593710,JF114058,01/15/2022 05:18:00 PM,047XX S WESTERN AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,DRUG STORE,False,True,9,Brighton Park,2022
2732,12622302,JF149776,02/19/2022 11:00:00 AM,110XX S HALSTED ST,OTHER OFFENSE,TELEPHONE THREAT,COMMERCIAL / BUSINESS OFFICE,False,False,22,Roseland,2022
2826,12610254,JF134885,02/04/2022 08:30:00 PM,011XX N HUDSON AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,True,18,Near North Side,2022
2843,12616253,JF139052,02/09/2022 10:30:00 AM,007XX N CENTRAL AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,False,15,Austin,2022
2855,12618353,JF144026,02/09/2022 11:00:00 AM,027XX S STATE ST,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,False,False,1,Douglas,2022
2870,12595410,JF116542,01/17/2022 04:51:00 PM,112XX S GREEN ST,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,False,22,Morgan Park,2022
2881,12608949,JF133138,02/03/2022 09:24:00 PM,046XX S INDIANA AVE,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,True,False,2,Grand Boulevard,2022
2884,12598542,JF120228,01/21/2022 06:35:00 PM,022XX E 84TH ST,OTHER OFFENSE,VIOLATION GPS MONITORING DEVICE,APARTMENT,False,True,4,South Chicago,2022
2905,12630074,JF159232,02/28/2022 09:00:00 AM,095XX S PERRY AVE,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,False,False,5,Roseland,2022
2915,12599847,JF121852,01/23/2022 03:16:00 PM,045XX N CLARENDON AVE,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,True,True,19,Uptown,2022
2921,12610323,JF135024,02/04/2022 04:49:00 PM,055XX W DIVERSEY AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,True,25,Belmont Cragin,2022
2922,12618087,JF144549,02/14/2022 08:00:00 PM,034XX W 63RD ST,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,POLICE FACILITY / VEHICLE PARKING LOT,False,True,8,Chicago Lawn,2022
2923,12604026,JF127049,01/28/2022 04:00:00 PM,073XX N MC VICKER AVE,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,SIDEWALK,False,False,16,Forest Glen,2022
2935,12602309,JF125014,01/21/2022 08:53:00 PM,053XX N KIMBALL AVE,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,OTHER (SPECIFY),False,True,17,North Park,2022
2940,12594761,JF115706,01/17/2022 03:00:00 PM,005XX N WESTERN AVE,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,True,12,West Town,2022
2949,12630588,JF159949,03/01/2022 07:00:00 AM,057XX S MICHIGAN AVE,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,True,2,Washington Park,2022
2958,12624989,JF153040,02/19/2022 08:41:00 PM,043XX N KEDVALE AVE,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,True,17,Irving Park,2022
2973,12604377,JF127554,01/29/2022 01:40:00 AM,066XX S ROCKWELL ST,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,True,8,Chicago Lawn,2022
2982,12588699,JF108420,01/10/2022 11:30:00 AM,074XX S CHAPPEL AVE,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,False,3,South Shore,2022
2993,12607797,JF131747,02/01/2022 11:00:00 AM,078XX W CAHILL TER,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,False,True,16,Dunning,2022
